1788674444.656319842,0 %, 208 MHz, 51, 5.88 W
1788674444.757369744,0 %, 208 MHz, 51, 5.88 W
1788674444.857736192,0 %, 208 MHz, 51, 5.97 W
1788674444.957533905,0 %, 208 MHz, 51, 5.97 W
1788674445.058664991,0 %, 208 MHz, 51, 5.97 W
1788674445.158981183,0 %, 208 MHz, 51, 5.97 W
1788674445.259455198,0 %, 208 MHz, 51, 5.97 W
1788674445.358599872,0 %, 2405 MHz, 52, 9.60 W
1788674445.459349423,0 %, 2405 MHz, 52, 9.60 W
1788674445.559737679,0 %, 2405 MHz, 52, 9.60 W
1788674445.659851167,0 %, 2405 MHz, 52, 9.60 W
1788674445.760782126,0 %, 2405 MHz, 52, 9.60 W
1788674445.861322893,0 %, 2405 MHz, 52, 13.21 W
1788674445.961580445,0 %, 2405 MHz, 52, 13.21 W
1788674446.062285628,0 %, 2405 MHz, 52, 13.21 W
1788674446.162638028,0 %, 2405 MHz, 52, 13.21 W
1788674446.263357003,0 %, 2405 MHz, 52, 13.21 W
1788674446.364082218,0 %, 2405 MHz, 52, 12.95 W
1788674446.463322237,0 %, 2405 MHz, 52, 12.95 W
1788674446.564180171,0 %, 2405 MHz, 52, 12.95 W
1788674446.664118828,0 %, 2405 MHz, 52, 12.95 W
1788674446.764846843,0 %, 2405 MHz, 52, 12.95 W
1788674446.865788346,0 %, 2405 MHz, 51, 12.84 W
1788674446.965748795,0 %, 2405 MHz, 51, 12.84 W
1788674447.066208826,0 %, 2405 MHz, 51, 12.84 W
1788674447.166660026,0 %, 2405 MHz, 51, 12.84 W
1788674447.266569803,0 %, 2405 MHz, 51, 12.84 W
1788674447.367707498,0 %, 2405 MHz, 51, 12.87 W
1788674447.468083402,0 %, 2405 MHz, 51, 12.87 W
1788674447.568501434,0 %, 2405 MHz, 51, 12.87 W
1788674447.668601242,0 %, 2405 MHz, 51, 12.87 W
1788674447.768226460,0 %, 2405 MHz, 51, 12.87 W
1788674447.868920667,32 %, 2405 MHz, 51, 13.21 W
1788674447.969597995,32 %, 2405 MHz, 51, 13.21 W
1788674448.070832617,32 %, 2405 MHz, 51, 13.21 W
1788674448.170710666,32 %, 2405 MHz, 51, 13.21 W
1788674448.270357516,32 %, 2405 MHz, 51, 13.21 W
1788674448.371167435,32 %, 2405 MHz, 51, 13.20 W
1788674448.471954491,32 %, 2405 MHz, 51, 13.20 W
1788674448.573227241,32 %, 2405 MHz, 51, 13.20 W
1788674448.672405692,32 %, 2405 MHz, 51, 13.20 W
1788674448.771977933,32 %, 2405 MHz, 51, 13.20 W
1788674448.874012266,0 %, 2405 MHz, 51, 12.77 W
1788674448.973759500,0 %, 2405 MHz, 51, 12.77 W
1788674449.074300972,0 %, 2405 MHz, 51, 12.77 W
1788674449.175069003,0 %, 2405 MHz, 51, 12.77 W
1788674449.275068636,0 %, 2405 MHz, 51, 12.77 W
1788674449.374771102,0 %, 2405 MHz, 51, 12.71 W
1788674449.475051807,0 %, 2405 MHz, 51, 12.71 W
1788674449.575490687,0 %, 2405 MHz, 51, 12.71 W
1788674449.675552112,0 %, 2405 MHz, 51, 12.71 W
1788674449.775527441,0 %, 2405 MHz, 51, 12.71 W
1788674449.876534976,0 %, 2405 MHz, 51, 12.70 W
1788674449.977078640,0 %, 2405 MHz, 51, 12.70 W
1788674450.077786240,0 %, 2405 MHz, 51, 12.70 W
1788674450.178196176,0 %, 2405 MHz, 51, 12.70 W
1788674450.278715121,0 %, 2405 MHz, 51, 12.70 W
1788674450.379815872,0 %, 2405 MHz, 51, 12.64 W
1788674450.479776305,0 %, 2405 MHz, 51, 12.64 W
1788674450.580410833,0 %, 2405 MHz, 51, 12.64 W
1788674450.680309282,0 %, 2405 MHz, 51, 12.64 W
1788674450.781120322,0 %, 2405 MHz, 51, 12.64 W
1788674450.881536035,0 %, 2405 MHz, 51, 12.57 W
1788674450.981960227,0 %, 2405 MHz, 51, 12.57 W
1788674451.082689059,0 %, 2405 MHz, 51, 12.57 W
1788674451.183711458,0 %, 2405 MHz, 51, 12.57 W
1788674451.283245701,0 %, 2405 MHz, 51, 12.57 W
1788674451.384212276,0 %, 2405 MHz, 51, 12.59 W
1788674451.484644805,0 %, 2405 MHz, 51, 12.59 W
1788674451.585018981,0 %, 2405 MHz, 51, 12.59 W
1788674451.685083591,0 %, 2405 MHz, 51, 12.59 W
1788674451.785958630,0 %, 2405 MHz, 51, 12.59 W
1788674451.886584119,0 %, 2405 MHz, 51, 12.59 W
1788674451.986780168,0 %, 2405 MHz, 51, 12.59 W
1788674452.087820183,0 %, 2405 MHz, 51, 12.59 W
1788674452.187979032,0 %, 2405 MHz, 51, 12.59 W
1788674452.288573177,0 %, 2405 MHz, 51, 12.59 W
1788674452.389880728,0 %, 2405 MHz, 51, 12.56 W
1788674452.489890553,0 %, 2405 MHz, 51, 12.56 W
1788674452.590239786,0 %, 2405 MHz, 51, 12.56 W
1788674452.690074012,0 %, 2405 MHz, 51, 12.56 W
1788674452.790916636,0 %, 2405 MHz, 51, 12.56 W
1788674452.891860268,0 %, 2405 MHz, 51, 12.54 W
1788674452.992259372,0 %, 2405 MHz, 51, 12.54 W
1788674453.092731965,0 %, 2405 MHz, 51, 12.54 W
1788674453.193194734,0 %, 2405 MHz, 51, 12.54 W
1788674453.293818974,0 %, 2405 MHz, 51, 12.54 W
1788674453.393413089,0 %, 2405 MHz, 51, 12.55 W
1788674453.494626736,0 %, 2405 MHz, 51, 12.55 W
1788674453.595310305,0 %, 2405 MHz, 51, 12.55 W
1788674453.695242899,0 %, 2405 MHz, 51, 12.55 W
1788674453.795938387,0 %, 2405 MHz, 51, 12.55 W
1788674453.896445780,0 %, 2405 MHz, 51, 12.55 W
1788674453.997936962,0 %, 2405 MHz, 51, 12.55 W
1788674454.097654565,0 %, 2405 MHz, 51, 12.55 W
1788674454.198278934,0 %, 2405 MHz, 51, 12.55 W
1788674454.298756391,0 %, 2405 MHz, 51, 12.55 W
1788674454.399151944,0 %, 2405 MHz, 51, 12.53 W
1788674454.499594745,0 %, 2405 MHz, 51, 12.53 W
1788674454.600351785,0 %, 2405 MHz, 51, 12.53 W
1788674454.700354043,0 %, 2405 MHz, 51, 12.53 W
1788674454.801020140,0 %, 2405 MHz, 51, 12.53 W
1788674454.901311421,0 %, 2405 MHz, 50, 12.51 W
1788674455.002046925,0 %, 2405 MHz, 50, 12.51 W
1788674455.102433247,0 %, 2405 MHz, 50, 12.51 W
1788674455.202862304,0 %, 2405 MHz, 50, 12.51 W
1788674455.303723584,0 %, 2405 MHz, 50, 12.51 W
1788674455.404093154,0 %, 2405 MHz, 50, 12.52 W
1788674455.504496659,0 %, 2405 MHz, 50, 12.52 W
1788674455.605150228,0 %, 2405 MHz, 50, 12.52 W
1788674455.705200134,0 %, 2405 MHz, 50, 12.52 W
1788674455.805846678,0 %, 2405 MHz, 50, 12.52 W
1788674455.906743991,0 %, 2405 MHz, 50, 12.52 W
1788674456.007116488,0 %, 2405 MHz, 50, 12.52 W
1788674456.107672217,0 %, 2405 MHz, 50, 12.52 W
1788674456.208248298,0 %, 2405 MHz, 50, 12.52 W
1788674456.308629420,0 %, 2405 MHz, 50, 12.52 W
1788674456.409116429,0 %, 2405 MHz, 50, 12.51 W
1788674456.509898909,0 %, 2405 MHz, 50, 12.51 W
1788674456.609762304,0 %, 2405 MHz, 50, 12.51 W
1788674456.709912482,0 %, 2405 MHz, 50, 12.51 W
1788674456.810694147,0 %, 2405 MHz, 50, 12.51 W
1788674456.911266820,0 %, 2405 MHz, 50, 12.51 W
1788674457.011867461,0 %, 2405 MHz, 50, 12.51 W
1788674457.112166198,0 %, 2405 MHz, 50, 12.51 W
1788674457.212645336,0 %, 2405 MHz, 50, 12.51 W
1788674457.313319561,0 %, 2405 MHz, 50, 12.51 W
1788674457.412981372,0 %, 2405 MHz, 50, 12.52 W
1788674457.514864187,0 %, 2405 MHz, 50, 12.52 W
1788674457.613583504,0 %, 2405 MHz, 50, 12.52 W
1788674457.713780770,0 %, 2405 MHz, 50, 12.52 W
1788674457.814702210,0 %, 2405 MHz, 50, 12.48 W
1788674457.915891650,0 %, 2405 MHz, 50, 12.48 W
1788674458.015827269,0 %, 2405 MHz, 50, 12.48 W
1788674458.116216838,0 %, 2405 MHz, 50, 12.48 W
1788674458.216962920,0 %, 2405 MHz, 50, 12.48 W
1788674458.317647945,0 %, 2405 MHz, 50, 12.46 W
1788674458.418340794,0 %, 2405 MHz, 50, 12.46 W
1788674458.518726332,0 %, 2405 MHz, 50, 12.46 W
1788674458.618998142,0 %, 2405 MHz, 50, 12.46 W
1788674458.719161136,0 %, 2405 MHz, 50, 12.46 W
1788674458.818923635,0 %, 2405 MHz, 50, 12.47 W
1788674458.919863332,0 %, 2405 MHz, 50, 12.47 W
1788674459.020712644,0 %, 2405 MHz, 50, 12.47 W
1788674459.120900839,0 %, 2405 MHz, 50, 12.47 W
1788674459.221841576,0 %, 2405 MHz, 50, 12.47 W
1788674459.322839528,0 %, 2405 MHz, 50, 12.48 W
1788674459.422745339,0 %, 2405 MHz, 50, 12.48 W
1788674459.523235645,0 %, 2405 MHz, 50, 12.48 W
1788674459.623745439,0 %, 2405 MHz, 50, 12.48 W
1788674459.723372610,0 %, 2405 MHz, 50, 12.48 W
1788674459.824491843,0 %, 2405 MHz, 50, 12.48 W
1788674459.925225732,0 %, 2405 MHz, 50, 12.48 W
1788674460.025625206,0 %, 2405 MHz, 50, 12.48 W
1788674460.126079256,0 %, 2405 MHz, 50, 12.48 W
1788674460.226834089,0 %, 2405 MHz, 50, 12.48 W
1788674460.327247931,0 %, 2405 MHz, 50, 12.48 W
1788674460.427636925,0 %, 2405 MHz, 50, 12.48 W
1788674460.528381711,0 %, 2405 MHz, 50, 12.48 W
1788674460.628883200,0 %, 2405 MHz, 50, 12.48 W
1788674460.728599300,0 %, 2405 MHz, 50, 12.48 W
1788674460.829526869,0 %, 2405 MHz, 50, 12.48 W
1788674460.930521542,0 %, 2405 MHz, 50, 12.48 W
1788674461.030840632,0 %, 2405 MHz, 50, 12.48 W
1788674461.130995643,0 %, 2405 MHz, 50, 12.48 W
1788674461.233271129,0 %, 2405 MHz, 50, 12.48 W
1788674461.332125983,0 %, 2405 MHz, 51, 14.46 W
1788674461.432493809,0 %, 2405 MHz, 51, 14.46 W
1788674461.533969343,0 %, 2405 MHz, 51, 14.46 W
1788674461.633942820,0 %, 2405 MHz, 51, 14.46 W
1788674461.733613720,0 %, 2405 MHz, 51, 14.46 W
1788674461.834904616,0 %, 2405 MHz, 50, 16.08 W
1788674461.936493784,0 %, 2405 MHz, 50, 16.08 W
1788674462.035834524,0 %, 2405 MHz, 50, 16.08 W
1788674462.136931885,0 %, 2405 MHz, 50, 16.08 W
1788674462.239211708,0 %, 2405 MHz, 50, 16.08 W
1788674462.339241247,0 %, 2392 MHz, 52, 23.06 W
