1788674769.401228560,3 %, 2398 MHz, 62, 15.52 W
1788674769.502807734,3 %, 2398 MHz, 62, 15.52 W
1788674769.603747232,3 %, 2398 MHz, 62, 15.52 W
1788674769.704189025,3 %, 2398 MHz, 62, 15.52 W
1788674769.804855501,3 %, 2398 MHz, 62, 15.52 W
1788674769.905259171,3 %, 2398 MHz, 62, 15.41 W
1788674770.006312694,3 %, 2398 MHz, 62, 15.41 W
1788674770.106931741,3 %, 2398 MHz, 62, 15.41 W
1788674770.207057341,3 %, 2398 MHz, 62, 15.41 W
1788674770.308927795,3 %, 2398 MHz, 62, 15.41 W
1788674770.409084019,0 %, 2398 MHz, 62, 14.85 W
1788674770.509562139,0 %, 2398 MHz, 62, 14.85 W
1788674770.610070276,0 %, 2398 MHz, 62, 14.85 W
1788674770.710658826,0 %, 2398 MHz, 62, 14.85 W
1788674770.811013126,0 %, 2398 MHz, 62, 14.85 W
1788674770.911981043,0 %, 2398 MHz, 61, 14.84 W
1788674771.012522488,0 %, 2398 MHz, 61, 14.84 W
1788674771.113617468,0 %, 2398 MHz, 61, 14.84 W
1788674771.214579052,0 %, 2398 MHz, 61, 14.84 W
1788674771.314898431,0 %, 2398 MHz, 61, 14.84 W
1788674771.416157752,0 %, 2398 MHz, 61, 14.60 W
1788674771.516916769,0 %, 2398 MHz, 61, 14.60 W
1788674771.617321201,0 %, 2398 MHz, 61, 14.60 W
1788674771.717842271,0 %, 2398 MHz, 61, 14.60 W
1788674771.817658496,0 %, 2398 MHz, 61, 14.60 W
1788674771.917727097,0 %, 2398 MHz, 61, 14.34 W
1788674772.018066781,0 %, 2398 MHz, 61, 14.34 W
1788674772.118365639,0 %, 2398 MHz, 61, 14.34 W
1788674772.219296448,0 %, 2398 MHz, 61, 14.34 W
1788674772.319754390,0 %, 2398 MHz, 61, 14.34 W
1788674772.419878405,0 %, 2398 MHz, 61, 14.35 W
1788674772.519949540,0 %, 2398 MHz, 61, 14.35 W
1788674772.620377563,0 %, 2398 MHz, 61, 14.35 W
1788674772.721257414,0 %, 2398 MHz, 61, 14.35 W
1788674772.821551776,0 %, 2398 MHz, 61, 14.35 W
1788674772.921826650,0 %, 2398 MHz, 61, 14.34 W
1788674773.022846515,0 %, 2398 MHz, 61, 14.34 W
1788674773.122969143,0 %, 2398 MHz, 61, 14.34 W
1788674773.223555104,0 %, 2398 MHz, 61, 14.34 W
1788674773.323921918,0 %, 2398 MHz, 61, 14.34 W
1788674773.424738481,1 %, 2398 MHz, 61, 14.27 W
1788674773.524829814,1 %, 2398 MHz, 61, 14.27 W
1788674773.625157222,1 %, 2398 MHz, 61, 14.27 W
1788674773.725684448,1 %, 2398 MHz, 61, 14.27 W
1788674773.826467123,1 %, 2398 MHz, 61, 14.27 W
1788674773.926908080,1 %, 2398 MHz, 60, 14.26 W
1788674774.027281327,1 %, 2398 MHz, 60, 14.26 W
1788674774.127488568,1 %, 2398 MHz, 60, 14.26 W
1788674774.228347520,1 %, 2398 MHz, 60, 14.26 W
1788674774.328791826,1 %, 2398 MHz, 60, 14.26 W
1788674774.428974075,1 %, 2398 MHz, 60, 14.25 W
1788674774.529716598,1 %, 2398 MHz, 60, 14.25 W
1788674774.630115258,1 %, 2398 MHz, 60, 14.25 W
1788674774.731076479,1 %, 2398 MHz, 60, 14.25 W
1788674774.831264328,1 %, 2398 MHz, 60, 14.25 W
1788674774.931581838,1 %, 2398 MHz, 60, 14.27 W
1788674775.032046642,1 %, 2398 MHz, 60, 14.27 W
1788674775.132802130,1 %, 2398 MHz, 60, 14.27 W
1788674775.233014609,1 %, 2398 MHz, 60, 14.27 W
1788674775.333351948,1 %, 2398 MHz, 60, 14.27 W
1788674775.433146117,1 %, 2398 MHz, 60, 14.24 W
1788674775.533182296,1 %, 2398 MHz, 60, 14.24 W
1788674775.633364648,1 %, 2398 MHz, 60, 14.24 W
1788674775.733723699,1 %, 2398 MHz, 60, 14.24 W
1788674775.833946673,1 %, 2398 MHz, 60, 14.24 W
1788674775.934770144,1 %, 2398 MHz, 60, 14.19 W
1788674776.035371766,1 %, 2398 MHz, 60, 14.19 W
1788674776.135936978,1 %, 2398 MHz, 60, 14.19 W
1788674776.236125639,1 %, 2398 MHz, 60, 14.19 W
