1788673876.458965524,1 %, 2405 MHz, 41, 11.85 W
1788673876.559515472,1 %, 2405 MHz, 41, 11.85 W
1788673876.660759069,1 %, 2398 MHz, 41, 11.81 W
1788673876.761014339,1 %, 2398 MHz, 41, 11.81 W
1788673876.861516478,1 %, 2398 MHz, 41, 11.81 W
1788673876.962393186,1 %, 2398 MHz, 41, 11.81 W
1788673877.063382120,1 %, 2398 MHz, 41, 11.81 W
1788673877.164033493,1 %, 2398 MHz, 41, 11.83 W
1788673877.264871910,1 %, 2398 MHz, 41, 11.83 W
1788673877.365501443,1 %, 2398 MHz, 41, 11.83 W
1788673877.466357780,1 %, 2398 MHz, 41, 11.83 W
1788673877.567328569,1 %, 2398 MHz, 41, 11.85 W
1788673877.668388736,1 %, 2398 MHz, 41, 11.85 W
1788673877.768893657,1 %, 2398 MHz, 41, 11.85 W
1788673877.869951024,1 %, 2398 MHz, 41, 11.85 W
1788673877.970313477,1 %, 2398 MHz, 41, 11.85 W
1788673878.071352234,1 %, 2405 MHz, 41, 11.86 W
1788673878.171790048,1 %, 2405 MHz, 41, 11.86 W
1788673878.272988328,1 %, 2405 MHz, 41, 11.86 W
1788673878.373299802,1 %, 2405 MHz, 41, 11.86 W
1788673878.474123465,1 %, 2405 MHz, 41, 11.86 W
1788673878.574586528,1 %, 2398 MHz, 41, 11.86 W
1788673878.675539506,1 %, 2398 MHz, 41, 11.86 W
1788673878.776143771,1 %, 2398 MHz, 41, 11.86 W
1788673878.877040620,1 %, 2398 MHz, 41, 11.86 W
1788673878.977365167,1 %, 2398 MHz, 41, 11.86 W
1788673879.078318544,1 %, 2398 MHz, 41, 11.86 W
1788673879.178943400,1 %, 2398 MHz, 41, 11.86 W
1788673879.279737508,1 %, 2398 MHz, 41, 11.86 W
1788673879.379923713,1 %, 2398 MHz, 41, 11.86 W
1788673879.479387390,1 %, 2398 MHz, 41, 11.86 W
1788673879.579579244,1 %, 2405 MHz, 41, 11.87 W
1788673879.681227548,1 %, 2405 MHz, 41, 11.87 W
1788673879.781324472,1 %, 2405 MHz, 41, 11.87 W
1788673879.881235823,1 %, 2405 MHz, 41, 11.87 W
1788673879.981993690,1 %, 2405 MHz, 41, 11.87 W
1788673880.082530063,1 %, 2405 MHz, 41, 11.86 W
1788673880.183329897,1 %, 2405 MHz, 41, 11.86 W
1788673880.283713513,1 %, 2405 MHz, 41, 11.86 W
1788673880.384079529,1 %, 2405 MHz, 41, 11.86 W
1788673880.485406960,1 %, 2405 MHz, 41, 11.86 W
1788673880.584670870,1 %, 2398 MHz, 41, 11.85 W
1788673880.685398942,1 %, 2398 MHz, 41, 11.85 W
1788673880.785664076,1 %, 2398 MHz, 41, 11.85 W
1788673880.886052092,1 %, 2398 MHz, 41, 11.85 W
1788673880.986880343,1 %, 2398 MHz, 41, 11.85 W
1788673881.087572973,1 %, 2398 MHz, 41, 11.85 W
1788673881.188427783,1 %, 2398 MHz, 41, 11.85 W
1788673881.289390195,1 %, 2398 MHz, 41, 11.85 W
1788673881.389983942,1 %, 2398 MHz, 41, 11.85 W
1788673881.490792591,1 %, 2398 MHz, 41, 11.85 W
1788673881.591341601,1 %, 2405 MHz, 41, 11.89 W
1788673881.692780680,1 %, 2405 MHz, 41, 11.89 W
1788673881.792882336,1 %, 2405 MHz, 41, 11.89 W
1788673881.893742458,1 %, 2405 MHz, 41, 11.89 W
1788673881.994960108,1 %, 2405 MHz, 41, 11.89 W
1788673882.095300279,0 %, 2405 MHz, 41, 11.93 W
1788673882.196211568,0 %, 2405 MHz, 41, 11.93 W
1788673882.296791889,0 %, 2405 MHz, 41, 11.93 W
1788673882.397717354,0 %, 2405 MHz, 41, 11.93 W
1788673882.498709365,0 %, 2405 MHz, 41, 11.93 W
1788673882.599228181,0 %, 2405 MHz, 41, 11.94 W
1788673882.699384252,0 %, 2405 MHz, 41, 11.94 W
1788673882.799922060,0 %, 2405 MHz, 41, 11.94 W
1788673882.900479148,0 %, 2405 MHz, 41, 11.94 W
1788673883.001132447,0 %, 2405 MHz, 41, 11.94 W
1788673883.102030501,0 %, 2405 MHz, 41, 11.94 W
1788673883.202512050,0 %, 2405 MHz, 41, 11.94 W
1788673883.303398120,0 %, 2405 MHz, 41, 11.94 W
1788673883.404333136,0 %, 2405 MHz, 41, 11.94 W
