1788674633.218148637,0 %, 2398 MHz, 55, 14.14 W
1788674633.320150785,0 %, 2398 MHz, 55, 14.14 W
1788674633.420393398,0 %, 2398 MHz, 55, 14.14 W
1788674633.521372157,0 %, 2398 MHz, 55, 14.14 W
1788674633.621633022,0 %, 2398 MHz, 55, 14.14 W
1788674633.721217384,0 %, 2398 MHz, 55, 14.14 W
1788674633.823141873,0 %, 2398 MHz, 55, 14.14 W
1788674633.923285060,0 %, 2398 MHz, 55, 14.16 W
1788674634.023228932,0 %, 2398 MHz, 55, 14.16 W
1788674634.123864225,0 %, 2398 MHz, 55, 14.16 W
1788674634.224091612,0 %, 2398 MHz, 55, 14.16 W
1788674634.325966861,0 %, 2398 MHz, 55, 14.16 W
1788674634.425307272,1 %, 2398 MHz, 55, 13.81 W
1788674634.527236743,1 %, 2398 MHz, 55, 13.81 W
1788674634.626842552,1 %, 2398 MHz, 55, 13.81 W
1788674634.727755659,1 %, 2398 MHz, 55, 13.81 W
1788674634.828786842,1 %, 2398 MHz, 55, 13.81 W
1788674634.929106114,1 %, 2398 MHz, 55, 13.76 W
1788674635.029429068,1 %, 2398 MHz, 55, 13.76 W
1788674635.129591471,1 %, 2398 MHz, 55, 13.76 W
1788674635.230325602,1 %, 2398 MHz, 55, 13.76 W
1788674635.331144496,0 %, 2398 MHz, 55, 13.60 W
1788674635.431326726,0 %, 2398 MHz, 55, 13.60 W
1788674635.531769378,0 %, 2398 MHz, 55, 13.60 W
1788674635.632308634,0 %, 2398 MHz, 55, 13.60 W
1788674635.732680073,0 %, 2398 MHz, 55, 13.60 W
1788674635.832976570,0 %, 2398 MHz, 55, 13.66 W
1788674635.933800392,0 %, 2398 MHz, 55, 13.66 W
1788674636.034175401,0 %, 2398 MHz, 55, 13.66 W
1788674636.134824277,0 %, 2398 MHz, 55, 13.66 W
1788674636.235312264,0 %, 2398 MHz, 55, 13.66 W
1788674636.335597281,0 %, 2398 MHz, 55, 13.64 W
1788674636.436085299,0 %, 2398 MHz, 55, 13.64 W
1788674636.536880299,0 %, 2398 MHz, 55, 13.64 W
1788674636.637311343,0 %, 2398 MHz, 55, 13.64 W
1788674636.737521819,0 %, 2398 MHz, 55, 13.64 W
1788674636.837857763,0 %, 2398 MHz, 55, 13.59 W
1788674636.938722487,0 %, 2398 MHz, 55, 13.59 W
1788674637.039082385,0 %, 2398 MHz, 55, 13.59 W
1788674637.139726566,0 %, 2398 MHz, 55, 13.59 W
1788674637.240969926,0 %, 2398 MHz, 55, 13.59 W
