1788685376.026897150,0 %, 2392 MHz, 54, 12.84 W
1788685376.128006115,0 %, 2392 MHz, 53, 12.96 W
1788685376.228164873,0 %, 2392 MHz, 53, 12.96 W
1788685376.327908175,0 %, 2392 MHz, 53, 12.96 W
1788685376.428699877,0 %, 2392 MHz, 53, 12.96 W
1788685376.529123978,0 %, 2392 MHz, 53, 12.96 W
1788685376.630090944,0 %, 2392 MHz, 53, 13.34 W
1788685376.730420950,0 %, 2392 MHz, 53, 13.34 W
1788685376.830338188,0 %, 2392 MHz, 53, 13.34 W
1788685376.930700481,0 %, 2392 MHz, 53, 13.34 W
1788685377.030206167,0 %, 2392 MHz, 53, 13.34 W
1788685377.130348989,0 %, 2392 MHz, 53, 13.36 W
1788685377.230820467,0 %, 2392 MHz, 53, 13.36 W
1788685377.331381961,0 %, 2392 MHz, 53, 13.36 W
1788685377.431941695,0 %, 2392 MHz, 53, 13.36 W
1788685377.532214020,0 %, 2392 MHz, 53, 13.36 W
1788685377.632326986,0 %, 2392 MHz, 53, 13.06 W
1788685377.733175791,0 %, 2392 MHz, 53, 13.06 W
1788685377.833498484,0 %, 2392 MHz, 53, 13.06 W
1788685377.933894826,0 %, 2392 MHz, 53, 13.06 W
1788685378.033066048,0 %, 2392 MHz, 53, 13.06 W
1788685378.134174326,0 %, 2392 MHz, 53, 12.95 W
1788685378.234228940,0 %, 2392 MHz, 53, 12.95 W
1788685378.334448705,0 %, 2392 MHz, 53, 12.95 W
1788685378.435449271,0 %, 2392 MHz, 53, 12.95 W
1788685378.534908797,0 %, 2392 MHz, 53, 12.95 W
1788685378.635884675,0 %, 2392 MHz, 53, 13.17 W
1788685378.736493929,0 %, 2392 MHz, 53, 13.17 W
1788685378.836628606,0 %, 2392 MHz, 53, 13.17 W
1788685378.937571876,0 %, 2392 MHz, 53, 13.17 W
1788685379.036759850,0 %, 2392 MHz, 53, 13.17 W
1788685379.136825520,0 %, 2392 MHz, 53, 13.26 W
1788685379.237759286,0 %, 2392 MHz, 53, 13.26 W
1788685379.338206108,0 %, 2392 MHz, 53, 13.26 W
1788685379.438957409,0 %, 2392 MHz, 53, 13.26 W
1788685379.538463864,0 %, 2392 MHz, 53, 13.26 W
1788685379.639460685,0 %, 2392 MHz, 53, 12.94 W
1788685379.739059219,0 %, 2392 MHz, 53, 12.94 W
1788685379.839608361,0 %, 2392 MHz, 53, 12.94 W
1788685379.939870367,0 %, 2392 MHz, 53, 12.94 W
1788685380.039490245,0 %, 2392 MHz, 53, 12.94 W
1788685380.140347643,2 %, 2392 MHz, 52, 12.83 W
1788685380.240454257,2 %, 2392 MHz, 52, 12.83 W
1788685380.340194631,2 %, 2392 MHz, 52, 12.83 W
1788685380.440831661,2 %, 2392 MHz, 52, 12.83 W
1788685380.541858467,2 %, 2392 MHz, 52, 12.83 W
1788685380.642041225,2 %, 2405 MHz, 52, 12.84 W
1788685380.741295679,2 %, 2405 MHz, 52, 12.84 W
1788685380.841504037,2 %, 2405 MHz, 52, 12.84 W
1788685380.941810267,2 %, 2405 MHz, 52, 12.84 W
1788685381.041767121,2 %, 2405 MHz, 52, 12.84 W
1788685381.142237174,0 %, 2405 MHz, 52, 12.83 W
1788685381.242341356,0 %, 2405 MHz, 52, 12.83 W
1788685381.342638002,0 %, 2405 MHz, 52, 12.83 W
1788685381.442889000,0 %, 2405 MHz, 52, 12.83 W
1788685381.543455182,0 %, 2405 MHz, 52, 12.83 W
1788685381.643638868,0 %, 2405 MHz, 52, 12.80 W
1788685381.743859994,0 %, 2405 MHz, 52, 12.80 W
1788685381.844916512,0 %, 2405 MHz, 52, 12.80 W
1788685381.945321302,0 %, 2405 MHz, 52, 12.80 W
1788685382.044425053,0 %, 2405 MHz, 52, 12.80 W
1788685382.144782451,0 %, 2405 MHz, 52, 12.77 W
1788685382.245184537,0 %, 2405 MHz, 52, 12.77 W
1788685382.346188687,0 %, 2405 MHz, 52, 12.77 W
1788685382.446223941,0 %, 2405 MHz, 52, 12.77 W
1788685382.546836859,0 %, 2405 MHz, 52, 12.77 W
1788685382.647424240,0 %, 2405 MHz, 52, 12.77 W
1788685382.746653687,0 %, 2405 MHz, 52, 12.77 W
1788685382.847829101,0 %, 2405 MHz, 52, 12.77 W
1788685382.947655891,0 %, 2405 MHz, 52, 12.77 W
1788685383.047464233,0 %, 2405 MHz, 52, 12.77 W
1788685383.148071775,0 %, 2405 MHz, 52, 12.77 W
1788685383.248505637,0 %, 2405 MHz, 52, 12.77 W
1788685383.349097323,0 %, 2405 MHz, 52, 12.77 W
1788685383.449964689,0 %, 2405 MHz, 52, 12.77 W
1788685383.550104151,0 %, 2405 MHz, 52, 12.77 W
1788685383.650724733,0 %, 2405 MHz, 52, 12.75 W
1788685383.751417011,0 %, 2405 MHz, 52, 12.75 W
1788685383.851632409,0 %, 2405 MHz, 52, 12.75 W
1788685383.952020703,0 %, 2405 MHz, 52, 12.75 W
1788685384.051530757,0 %, 2405 MHz, 52, 12.75 W
1788685384.152230443,0 %, 2405 MHz, 52, 12.68 W
1788685384.253222897,0 %, 2405 MHz, 52, 12.68 W
1788685384.353245111,0 %, 2405 MHz, 52, 12.68 W
1788685384.454205389,0 %, 2405 MHz, 52, 12.68 W
1788685384.554313059,0 %, 2405 MHz, 52, 12.68 W
1788685384.655108761,0 %, 2405 MHz, 52, 12.61 W
1788685384.755384879,0 %, 2405 MHz, 52, 12.61 W
1788685384.856454213,0 %, 2405 MHz, 52, 12.61 W
1788685384.956640331,0 %, 2405 MHz, 52, 12.61 W
1788685385.056110338,0 %, 2405 MHz, 52, 12.61 W
1788685385.156433880,0 %, 2405 MHz, 52, 12.62 W
1788685385.257167806,0 %, 2405 MHz, 52, 12.62 W
1788685385.357998756,0 %, 2405 MHz, 52, 12.62 W
1788685385.458200794,0 %, 2405 MHz, 52, 12.62 W
1788685385.559016608,0 %, 2405 MHz, 52, 12.62 W
1788685385.659311334,0 %, 2405 MHz, 51, 12.63 W
1788685385.760150316,0 %, 2405 MHz, 51, 12.63 W
1788685385.860554098,0 %, 2405 MHz, 51, 12.63 W
1788685385.961191385,0 %, 2405 MHz, 51, 12.63 W
1788685386.060096591,0 %, 2405 MHz, 51, 12.63 W
1788685386.160762501,0 %, 2405 MHz, 51, 12.61 W
1788685386.261969355,0 %, 2405 MHz, 51, 12.61 W
1788685386.362265905,0 %, 2405 MHz, 51, 12.61 W
1788685386.462410472,0 %, 2405 MHz, 51, 12.61 W
1788685386.563195694,0 %, 2405 MHz, 51, 12.61 W
1788685386.663379988,0 %, 2405 MHz, 51, 12.60 W
1788685386.764069722,0 %, 2405 MHz, 51, 12.60 W
