1788702406.014701427,0 %, 2398 MHz, 42, 12.23 W
1788702406.116427758,0 %, 2398 MHz, 42, 12.23 W
1788702406.218370585,0 %, 2398 MHz, 42, 12.05 W
1788702406.318642862,0 %, 2398 MHz, 42, 12.05 W
1788702406.418651014,0 %, 2398 MHz, 42, 12.05 W
1788702406.519946191,0 %, 2398 MHz, 42, 12.05 W
1788702406.620346372,0 %, 2398 MHz, 42, 12.05 W
1788702406.721706304,0 %, 2398 MHz, 42, 12.08 W
1788702406.821369430,0 %, 2398 MHz, 42, 12.08 W
1788702406.922172591,0 %, 2398 MHz, 42, 12.08 W
1788702407.022259702,0 %, 2398 MHz, 42, 12.08 W
1788702407.123543581,0 %, 2398 MHz, 42, 12.08 W
1788702407.224495928,0 %, 2398 MHz, 42, 12.13 W
1788702407.325677170,0 %, 2398 MHz, 42, 12.13 W
1788702407.425413416,0 %, 2398 MHz, 42, 12.13 W
1788702407.525817392,0 %, 2398 MHz, 42, 12.13 W
1788702407.626748537,0 %, 2398 MHz, 42, 12.13 W
1788702407.728200499,0 %, 2398 MHz, 42, 12.12 W
1788702407.828151160,0 %, 2398 MHz, 42, 12.12 W
1788702407.928029872,0 %, 2398 MHz, 42, 12.12 W
1788702408.028908777,0 %, 2398 MHz, 42, 12.12 W
1788702408.129390481,0 %, 2398 MHz, 42, 12.12 W
1788702408.230072730,0 %, 2398 MHz, 42, 12.05 W
1788702408.330435409,0 %, 2398 MHz, 42, 12.05 W
1788702408.430795609,0 %, 2398 MHz, 42, 12.05 W
1788702408.531261298,0 %, 2398 MHz, 42, 12.05 W
1788702408.631243065,0 %, 2398 MHz, 42, 12.05 W
1788702408.731842257,0 %, 2398 MHz, 42, 11.99 W
1788702408.832270921,0 %, 2398 MHz, 42, 11.99 W
1788702408.932915954,0 %, 2398 MHz, 42, 11.99 W
1788702409.033710538,0 %, 2398 MHz, 42, 11.99 W
1788702409.134250355,0 %, 2398 MHz, 42, 11.99 W
1788702409.235046012,0 %, 2398 MHz, 42, 11.97 W
1788702409.335003123,0 %, 2398 MHz, 42, 11.97 W
1788702409.435257515,0 %, 2398 MHz, 42, 11.97 W
1788702409.535934836,0 %, 2398 MHz, 42, 11.97 W
1788702409.636638284,0 %, 2398 MHz, 42, 11.97 W
1788702409.736710276,2 %, 2398 MHz, 42, 11.97 W
1788702409.837560669,2 %, 2398 MHz, 42, 11.97 W
1788702409.937767973,2 %, 2398 MHz, 42, 11.97 W
1788702410.038364990,2 %, 2398 MHz, 42, 11.97 W
1788702410.138866230,2 %, 2398 MHz, 42, 11.97 W
1788702410.239184766,2 %, 2398 MHz, 42, 11.99 W
1788702410.339519398,2 %, 2398 MHz, 42, 11.99 W
1788702410.440233871,2 %, 2398 MHz, 42, 11.99 W
1788702410.540431719,2 %, 2398 MHz, 42, 11.99 W
1788702410.641099264,2 %, 2398 MHz, 42, 11.99 W
1788702410.741148936,5 %, 2398 MHz, 42, 12.08 W
1788702410.842129553,5 %, 2398 MHz, 42, 12.08 W
1788702410.942575450,5 %, 2398 MHz, 42, 12.08 W
1788702411.042642114,5 %, 2398 MHz, 42, 12.08 W
1788702411.142828586,5 %, 2398 MHz, 42, 12.08 W
1788702411.243830083,5 %, 2398 MHz, 42, 12.85 W
1788702411.344317100,5 %, 2398 MHz, 42, 12.85 W
1788702411.444767061,5 %, 2398 MHz, 42, 12.85 W
1788702411.544663484,5 %, 2398 MHz, 42, 12.85 W
1788702411.646085846,5 %, 2398 MHz, 42, 12.85 W
1788702411.746315711,43 %, 2405 MHz, 43, 15.66 W
1788702411.846905032,43 %, 2405 MHz, 43, 15.66 W
1788702411.947062560,43 %, 2405 MHz, 43, 15.66 W
1788702412.047444744,43 %, 2405 MHz, 43, 15.66 W
1788702412.147930721,43 %, 2405 MHz, 43, 15.66 W
1788702412.248629674,43 %, 2405 MHz, 47, 25.90 W
1788702412.349074227,43 %, 2405 MHz, 47, 25.90 W
1788702412.449922796,43 %, 2405 MHz, 47, 25.90 W
1788702412.550212661,43 %, 2405 MHz, 47, 25.90 W
1788702412.650527582,43 %, 2405 MHz, 47, 25.90 W
1788702412.750603478,2 %, 2398 MHz, 42, 26.61 W
1788702412.851461135,2 %, 2398 MHz, 42, 26.61 W
1788702412.952639625,2 %, 2398 MHz, 42, 26.61 W
1788702413.052536881,2 %, 2398 MHz, 42, 26.61 W
1788702413.153224986,2 %, 2398 MHz, 42, 26.61 W
1788702413.253587411,2 %, 2405 MHz, 45, 26.38 W
1788702413.353943436,2 %, 2405 MHz, 45, 26.38 W
1788702413.454290741,2 %, 2405 MHz, 45, 26.38 W
1788702413.555011934,2 %, 2405 MHz, 45, 26.38 W
1788702413.655321319,2 %, 2405 MHz, 45, 26.38 W
1788702413.756584721,31 %, 2405 MHz, 44, 27.79 W
1788702413.857921947,31 %, 2405 MHz, 44, 27.79 W
1788702413.957603843,31 %, 2405 MHz, 44, 27.79 W
1788702414.057363643,31 %, 2405 MHz, 44, 27.79 W
1788702414.158218501,31 %, 2405 MHz, 44, 27.79 W
1788702414.258542270,31 %, 2405 MHz, 44, 21.59 W
1788702414.359983240,31 %, 2405 MHz, 44, 21.59 W
1788702414.459796033,31 %, 2405 MHz, 44, 21.59 W
1788702414.560095481,31 %, 2405 MHz, 44, 21.59 W
1788702414.660434066,31 %, 2405 MHz, 44, 21.59 W
1788702414.760791915,36 %, 2411 MHz, 46, 22.87 W
