1788687215.715660716,0 %, 1170 MHz, 48, 6.82 W
1788687215.815821549,0 %, 1170 MHz, 48, 6.82 W
1788687215.916619566,0 %, 1170 MHz, 48, 6.82 W
1788687216.016245951,0 %, 1170 MHz, 48, 6.80 W
1788687216.117059280,0 %, 1170 MHz, 48, 6.80 W
1788687216.216728593,0 %, 1170 MHz, 48, 6.80 W
1788687216.317298050,0 %, 1170 MHz, 48, 6.80 W
1788687216.417233187,0 %, 1170 MHz, 48, 6.80 W
1788687216.517639908,0 %, 1170 MHz, 48, 6.82 W
1788687216.617905413,0 %, 1170 MHz, 48, 6.82 W
1788687216.718152342,0 %, 1170 MHz, 48, 6.82 W
1788687216.818301062,0 %, 1170 MHz, 48, 6.82 W
1788687216.919067383,0 %, 1170 MHz, 48, 6.82 W
1788687217.018968392,0 %, 1176 MHz, 48, 6.84 W
1788687217.118860921,0 %, 1176 MHz, 48, 6.84 W
1788687217.219068138,0 %, 1176 MHz, 48, 6.84 W
1788687217.319039035,0 %, 1176 MHz, 48, 6.84 W
1788687217.421640988,0 %, 1176 MHz, 48, 6.85 W
1788687217.522107949,0 %, 1176 MHz, 48, 6.85 W
1788687217.622267006,0 %, 1176 MHz, 48, 6.85 W
1788687217.722278863,0 %, 1176 MHz, 48, 6.85 W
1788687217.822812848,0 %, 1176 MHz, 48, 6.85 W
1788687217.923039969,0 %, 1176 MHz, 48, 6.84 W
1788687218.023540370,0 %, 1176 MHz, 48, 6.84 W
1788687218.123468531,0 %, 1176 MHz, 48, 6.84 W
1788687218.223953428,0 %, 1176 MHz, 48, 6.84 W
1788687218.324075061,0 %, 1176 MHz, 48, 6.84 W
1788687218.423976582,0 %, 1170 MHz, 48, 6.86 W
1788687218.524424855,0 %, 1170 MHz, 48, 6.86 W
1788687218.624615672,0 %, 1170 MHz, 48, 6.86 W
1788687218.725159545,0 %, 1170 MHz, 48, 6.86 W
1788687218.825077530,0 %, 1170 MHz, 48, 6.86 W
1788687218.926171835,0 %, 1170 MHz, 48, 6.84 W
1788687219.025680492,0 %, 1170 MHz, 48, 6.84 W
1788687219.125387917,0 %, 1170 MHz, 48, 6.84 W
1788687219.226028238,0 %, 1170 MHz, 48, 6.84 W
1788687219.326284031,0 %, 1170 MHz, 48, 6.84 W
1788687219.426324752,0 %, 1170 MHz, 48, 6.84 W
1788687219.526605281,0 %, 1170 MHz, 48, 6.84 W
1788687219.626783474,0 %, 1170 MHz, 48, 6.84 W
1788687219.726996947,0 %, 1170 MHz, 48, 6.84 W
1788687219.827432052,0 %, 1170 MHz, 48, 6.84 W
1788687219.927498213,0 %, 1176 MHz, 48, 6.83 W
1788687220.027916438,0 %, 1176 MHz, 48, 6.83 W
1788687220.128138743,0 %, 1176 MHz, 48, 6.83 W
1788687220.228312696,0 %, 1176 MHz, 48, 6.83 W
1788687220.328555113,0 %, 1176 MHz, 48, 6.83 W
1788687220.428442746,0 %, 1170 MHz, 48, 6.80 W
1788687220.528935659,0 %, 1170 MHz, 48, 6.80 W
1788687220.629644652,0 %, 1170 MHz, 48, 6.80 W
1788687220.729245661,0 %, 1170 MHz, 48, 6.80 W
1788687220.829616142,0 %, 1170 MHz, 48, 6.80 W
1788687220.929736639,0 %, 1170 MHz, 48, 6.80 W
1788687221.030117792,0 %, 1170 MHz, 48, 6.80 W
1788687221.130288480,0 %, 1170 MHz, 48, 6.80 W
1788687221.230131041,0 %, 1170 MHz, 48, 6.80 W
1788687221.330575730,0 %, 1170 MHz, 48, 6.80 W
1788687221.430693379,0 %, 1170 MHz, 48, 6.80 W
1788687221.531108340,0 %, 1170 MHz, 48, 6.80 W
1788687221.631411205,0 %, 1170 MHz, 48, 6.80 W
1788687221.731725606,0 %, 1170 MHz, 48, 6.80 W
1788687221.831811879,0 %, 1170 MHz, 48, 6.80 W
1788687221.932306792,0 %, 1176 MHz, 48, 6.80 W
1788687222.032394441,0 %, 1176 MHz, 48, 6.80 W
1788687222.132220186,0 %, 1176 MHz, 48, 6.80 W
1788687222.232511867,0 %, 1176 MHz, 48, 6.80 W
1788687222.332724492,0 %, 1176 MHz, 48, 6.80 W
1788687222.432784861,14 %, 1170 MHz, 49, 7.62 W
1788687222.533034686,14 %, 1170 MHz, 49, 7.62 W
1788687222.633641663,14 %, 1170 MHz, 49, 7.62 W
1788687222.733899376,14 %, 1170 MHz, 49, 7.62 W
1788687222.834103761,14 %, 1170 MHz, 49, 7.62 W
1788687222.934861522,14 %, 1170 MHz, 49, 8.35 W
1788687223.034551331,14 %, 1170 MHz, 49, 8.35 W
1788687223.134696916,14 %, 1170 MHz, 49, 8.35 W
1788687223.234841269,14 %, 1170 MHz, 49, 8.35 W
1788687223.335163494,14 %, 1170 MHz, 49, 8.35 W
1788687223.434969575,0 %, 1170 MHz, 48, 7.53 W
1788687223.535451016,0 %, 1170 MHz, 48, 7.53 W
1788687223.635747321,0 %, 1170 MHz, 48, 7.53 W
1788687223.736082586,0 %, 1170 MHz, 48, 7.53 W
1788687223.836312794,0 %, 1170 MHz, 48, 7.53 W
1788687223.937996283,0 %, 1176 MHz, 49, 9.05 W
1788687224.038337644,0 %, 1176 MHz, 49, 9.05 W
1788687224.138568141,0 %, 1176 MHz, 49, 9.05 W
1788687224.237273582,0 %, 1176 MHz, 49, 9.05 W
1788687224.337347295,0 %, 1176 MHz, 49, 9.05 W
1788687224.437832768,58 %, 1176 MHz, 50, 12.65 W
1788687224.538084209,58 %, 1176 MHz, 50, 12.65 W
1788687224.638081826,58 %, 1176 MHz, 50, 12.65 W
1788687224.737653491,58 %, 1176 MHz, 50, 12.65 W
1788687224.838681316,58 %, 1176 MHz, 50, 12.65 W
1788687224.939565461,58 %, 1176 MHz, 49, 13.72 W
1788687225.039613958,58 %, 1176 MHz, 49, 13.72 W
1788687225.140145879,58 %, 1176 MHz, 49, 13.72 W
1788687225.240889576,58 %, 1176 MHz, 49, 13.72 W
1788687225.341203289,58 %, 1176 MHz, 49, 13.72 W
1788687225.441116282,68 %, 1170 MHz, 50, 15.22 W
1788687225.543156651,68 %, 1170 MHz, 50, 15.22 W
1788687225.642187692,68 %, 1170 MHz, 50, 15.22 W
1788687225.742910429,68 %, 1170 MHz, 50, 15.22 W
1788687225.843593246,68 %, 1170 MHz, 50, 15.22 W
1788687225.943962959,68 %, 1170 MHz, 51, 14.30 W
1788687226.044357696,68 %, 1170 MHz, 51, 14.30 W
1788687226.144895521,68 %, 1170 MHz, 51, 14.30 W
1788687226.245997010,68 %, 1170 MHz, 51, 14.30 W
1788687226.347237282,68 %, 1170 MHz, 51, 14.30 W
1788687226.447608244,0 %, 1170 MHz, 48, 9.98 W
1788687226.547654357,0 %, 1170 MHz, 48, 9.98 W
1788687226.648995221,0 %, 1170 MHz, 48, 9.98 W
1788687226.749867656,0 %, 1170 MHz, 48, 9.98 W
1788687226.850185464,0 %, 1170 MHz, 48, 9.98 W
1788687226.951368089,0 %, 1170 MHz, 48, 7.68 W
1788687227.052098026,0 %, 1170 MHz, 48, 7.68 W
1788687227.151776203,0 %, 1170 MHz, 48, 7.68 W
1788687227.253021851,0 %, 1170 MHz, 48, 7.68 W
1788687227.352277660,0 %, 1170 MHz, 48, 7.68 W
1788687227.454221102,0 %, 1170 MHz, 48, 6.41 W
1788687227.554721310,0 %, 1170 MHz, 48, 6.41 W
1788687227.655883535,0 %, 1170 MHz, 48, 6.41 W
1788687227.756088976,0 %, 1170 MHz, 48, 6.41 W
1788687227.856804993,0 %, 1170 MHz, 48, 6.41 W
1788687227.957485762,0 %, 1170 MHz, 48, 6.40 W
1788687228.057528182,0 %, 1170 MHz, 48, 6.40 W
1788687228.158844614,0 %, 1170 MHz, 48, 6.40 W
1788687228.259336662,0 %, 1170 MHz, 48, 6.40 W
1788687228.358723046,0 %, 1170 MHz, 48, 6.40 W
1788687228.460989544,0 %, 1170 MHz, 47, 6.37 W
1788687228.560446328,0 %, 1170 MHz, 47, 6.37 W
1788687228.661511608,0 %, 1170 MHz, 47, 6.37 W
1788687228.762603435,0 %, 1170 MHz, 47, 6.37 W
1788687228.862916331,0 %, 1170 MHz, 47, 6.37 W
1788687228.964970587,0 %, 1170 MHz, 47, 6.37 W
1788687229.064299038,0 %, 1170 MHz, 47, 6.37 W
1788687229.165393310,0 %, 1170 MHz, 47, 6.37 W
1788687229.266211038,0 %, 1170 MHz, 47, 6.37 W
1788687229.367090368,0 %, 1170 MHz, 47, 6.37 W
1788687229.468125984,0 %, 1170 MHz, 47, 6.37 W
1788687229.568748417,0 %, 1170 MHz, 47, 6.37 W
1788687229.669748050,0 %, 1170 MHz, 47, 6.37 W
1788687229.769825987,0 %, 1170 MHz, 47, 6.37 W
1788687229.870017989,0 %, 1170 MHz, 47, 6.37 W
1788687229.970945077,0 %, 1170 MHz, 47, 6.38 W
1788687230.071166342,0 %, 1170 MHz, 47, 6.38 W
1788687230.171328054,0 %, 1170 MHz, 47, 6.38 W
1788687230.272410151,0 %, 1170 MHz, 47, 6.38 W
1788687230.373060489,0 %, 1170 MHz, 47, 6.38 W
1788687230.473573321,0 %, 1176 MHz, 47, 6.41 W
1788687230.574213500,0 %, 1176 MHz, 47, 6.41 W
1788687230.675582444,0 %, 1176 MHz, 47, 6.41 W
1788687230.776082652,0 %, 1176 MHz, 47, 6.41 W
1788687230.876833117,0 %, 1176 MHz, 47, 6.41 W
1788687230.977918015,0 %, 1170 MHz, 47, 6.40 W
1788687231.078582751,0 %, 1170 MHz, 47, 6.40 W
1788687231.179273776,0 %, 1170 MHz, 47, 6.40 W
1788687231.278623265,0 %, 1170 MHz, 47, 6.40 W
1788687231.380452450,0 %, 1170 MHz, 47, 6.40 W
1788687231.480927509,0 %, 1170 MHz, 47, 6.38 W
1788687231.581823557,0 %, 1170 MHz, 47, 6.38 W
1788687231.682761173,0 %, 1170 MHz, 47, 6.38 W
1788687231.783641895,0 %, 1170 MHz, 47, 6.38 W
1788687231.884131607,0 %, 1170 MHz, 47, 6.38 W
1788687231.984769016,0 %, 1170 MHz, 46, 6.37 W
1788687232.085857097,0 %, 1170 MHz, 46, 6.37 W
1788687232.186273449,0 %, 1170 MHz, 46, 6.37 W
1788687232.286124794,0 %, 1170 MHz, 46, 6.37 W
1788687232.387521581,0 %, 1170 MHz, 46, 6.37 W
1788687232.489060157,0 %, 1170 MHz, 46, 6.36 W
1788687232.589946989,0 %, 1170 MHz, 46, 6.36 W
1788687232.690820206,0 %, 1170 MHz, 46, 6.36 W
1788687232.789559567,0 %, 1170 MHz, 46, 6.36 W
1788687232.891206127,0 %, 1170 MHz, 46, 6.36 W
1788687232.991271088,0 %, 1170 MHz, 46, 6.40 W
1788687233.090861265,0 %, 1170 MHz, 46, 6.40 W
1788687233.191753762,0 %, 1170 MHz, 46, 6.40 W
1788687233.291496611,0 %, 1170 MHz, 46, 6.40 W
1788687233.392337348,0 %, 1170 MHz, 46, 6.40 W
1788687233.493635109,0 %, 1170 MHz, 46, 6.50 W
1788687233.593907574,0 %, 1170 MHz, 46, 6.50 W
1788687233.694902679,0 %, 1170 MHz, 46, 6.50 W
1788687233.794103432,0 %, 1170 MHz, 46, 6.50 W
