1788687176.639497620,0 %, 1170 MHz, 48, 6.82 W
1788687176.739675013,0 %, 1170 MHz, 48, 6.82 W
1788687176.839972982,0 %, 1170 MHz, 48, 6.82 W
1788687176.940371511,0 %, 1170 MHz, 48, 6.92 W
1788687177.039859720,0 %, 1170 MHz, 48, 6.92 W
1788687177.140123850,0 %, 1170 MHz, 48, 6.92 W
1788687177.240550203,0 %, 1170 MHz, 48, 6.92 W
1788687177.340729548,0 %, 1170 MHz, 48, 6.92 W
1788687177.441009805,0 %, 1176 MHz, 48, 6.92 W
1788687177.541186974,0 %, 1176 MHz, 48, 6.92 W
1788687177.641380527,0 %, 1176 MHz, 48, 6.92 W
1788687177.741959088,0 %, 1176 MHz, 48, 6.92 W
1788687177.841763665,0 %, 1176 MHz, 48, 6.92 W
1788687177.942049186,0 %, 1170 MHz, 48, 6.89 W
1788687178.042346499,0 %, 1170 MHz, 48, 6.89 W
1788687178.142404069,0 %, 1170 MHz, 48, 6.89 W
1788687178.242768998,0 %, 1170 MHz, 48, 6.89 W
1788687178.342817655,0 %, 1170 MHz, 48, 6.89 W
1788687178.443178584,0 %, 1170 MHz, 48, 6.85 W
1788687178.543775561,0 %, 1170 MHz, 48, 6.85 W
1788687178.643152122,0 %, 1170 MHz, 48, 6.85 W
1788687178.743749243,0 %, 1170 MHz, 48, 6.85 W
1788687178.844097724,0 %, 1170 MHz, 48, 6.85 W
1788687178.944270429,0 %, 1170 MHz, 48, 6.78 W
1788687179.044743135,0 %, 1170 MHz, 48, 6.78 W
1788687179.144796672,0 %, 1170 MHz, 48, 6.78 W
1788687179.245002177,0 %, 1170 MHz, 48, 6.78 W
1788687179.344949538,0 %, 1170 MHz, 48, 6.78 W
1788687179.445270707,37 %, 1170 MHz, 48, 6.80 W
1788687179.545740388,37 %, 1170 MHz, 48, 6.80 W
1788687179.645527093,37 %, 1170 MHz, 48, 6.80 W
1788687179.746175110,37 %, 1170 MHz, 48, 6.80 W
1788687179.846397559,37 %, 1170 MHz, 48, 6.80 W
1788687179.946350344,37 %, 1170 MHz, 48, 7.01 W
1788687180.046564122,37 %, 1170 MHz, 48, 7.01 W
1788687180.146793115,37 %, 1170 MHz, 48, 7.01 W
1788687180.247361932,37 %, 1170 MHz, 48, 7.01 W
1788687180.347452349,37 %, 1170 MHz, 48, 7.01 W
1788687180.447691998,0 %, 1170 MHz, 48, 7.03 W
1788687180.547685087,0 %, 1170 MHz, 48, 7.03 W
1788687180.647613472,0 %, 1170 MHz, 48, 7.03 W
1788687180.748445633,0 %, 1170 MHz, 48, 7.03 W
1788687180.848577538,0 %, 1170 MHz, 48, 7.03 W
1788687180.948722003,0 %, 1170 MHz, 48, 6.82 W
1788687181.049063684,0 %, 1170 MHz, 48, 6.82 W
1788687181.148955798,0 %, 1170 MHz, 48, 6.82 W
1788687181.249535847,0 %, 1170 MHz, 48, 6.82 W
1788687181.349623816,0 %, 1170 MHz, 48, 6.82 W
1788687181.449872857,0 %, 1170 MHz, 48, 6.81 W
1788687181.550105690,0 %, 1170 MHz, 48, 6.81 W
1788687181.649879451,0 %, 1170 MHz, 48, 6.81 W
1788687181.750638844,0 %, 1170 MHz, 48, 6.81 W
1788687181.851109117,0 %, 1170 MHz, 48, 6.81 W
1788687181.951068574,0 %, 1170 MHz, 48, 6.80 W
1788687182.051279519,0 %, 1170 MHz, 48, 6.80 W
1788687182.151228448,0 %, 1170 MHz, 48, 6.80 W
1788687182.251671442,0 %, 1170 MHz, 48, 6.80 W
1788687182.351826883,0 %, 1170 MHz, 48, 6.80 W
1788687182.451980292,0 %, 1170 MHz, 48, 6.81 W
1788687182.552178805,0 %, 1170 MHz, 48, 6.81 W
1788687182.651861638,0 %, 1170 MHz, 48, 6.81 W
1788687182.752359911,0 %, 1170 MHz, 48, 6.81 W
1788687182.852974440,0 %, 1170 MHz, 48, 6.81 W
1788687182.953300937,0 %, 1170 MHz, 48, 6.80 W
1788687183.053319578,0 %, 1170 MHz, 48, 6.80 W
1788687183.153511403,0 %, 1170 MHz, 48, 6.80 W
1788687183.253734140,0 %, 1170 MHz, 48, 6.80 W
1788687183.354028622,0 %, 1170 MHz, 48, 6.80 W
1788687183.454184463,0 %, 1170 MHz, 48, 6.76 W
1788687183.554399744,0 %, 1170 MHz, 48, 6.76 W
1788687183.654438769,0 %, 1170 MHz, 48, 6.76 W
1788687183.754872002,0 %, 1170 MHz, 48, 6.76 W
1788687183.854865075,0 %, 1170 MHz, 48, 6.76 W
1788687183.955295636,0 %, 1170 MHz, 48, 6.76 W
1788687184.055502821,0 %, 1170 MHz, 48, 6.76 W
1788687184.156032438,0 %, 1170 MHz, 48, 6.76 W
1788687184.256177319,0 %, 1170 MHz, 48, 6.76 W
1788687184.356067848,0 %, 1170 MHz, 48, 6.76 W
1788687184.456317721,0 %, 1170 MHz, 48, 6.76 W
1788687184.556543035,0 %, 1170 MHz, 48, 6.76 W
1788687184.656288172,0 %, 1170 MHz, 48, 6.76 W
1788687184.756984189,0 %, 1170 MHz, 48, 6.76 W
1788687184.857504286,0 %, 1170 MHz, 48, 6.76 W
1788687184.957423263,0 %, 1176 MHz, 48, 6.74 W
1788687185.057668912,0 %, 1176 MHz, 48, 6.74 W
1788687185.157902897,0 %, 1176 MHz, 48, 6.74 W
1788687185.258236994,0 %, 1176 MHz, 48, 6.74 W
1788687185.358229907,0 %, 1176 MHz, 48, 6.74 W
1788687185.458722644,0 %, 1170 MHz, 48, 6.73 W
1788687185.558732773,0 %, 1170 MHz, 48, 6.73 W
1788687185.659145750,0 %, 1170 MHz, 48, 6.73 W
1788687185.759507672,0 %, 1170 MHz, 48, 6.73 W
1788687185.859749721,0 %, 1170 MHz, 48, 6.73 W
1788687185.959991130,0 %, 1170 MHz, 48, 6.73 W
1788687186.060166299,0 %, 1170 MHz, 48, 6.73 W
1788687186.160351740,0 %, 1170 MHz, 48, 6.73 W
1788687186.260701933,0 %, 1170 MHz, 48, 6.73 W
1788687186.360906238,0 %, 1170 MHz, 48, 6.73 W
1788687186.461222239,0 %, 1170 MHz, 48, 6.72 W
1788687186.561723392,0 %, 1170 MHz, 48, 6.72 W
1788687186.661040209,0 %, 1170 MHz, 48, 6.72 W
1788687186.761841970,0 %, 1170 MHz, 48, 6.72 W
1788687186.861991795,0 %, 1170 MHz, 48, 6.72 W
1788687186.962271188,0 %, 1170 MHz, 48, 6.70 W
1788687187.061945189,0 %, 1170 MHz, 48, 6.70 W
1788687187.162035159,0 %, 1170 MHz, 48, 6.70 W
1788687187.262569416,0 %, 1170 MHz, 48, 6.70 W
1788687187.363053369,0 %, 1170 MHz, 48, 6.70 W
1788687187.463219002,0 %, 1176 MHz, 48, 6.66 W
1788687187.563470619,0 %, 1176 MHz, 48, 6.66 W
1788687187.663507148,0 %, 1176 MHz, 48, 6.66 W
1788687187.763620797,0 %, 1176 MHz, 48, 6.66 W
1788687187.864140910,0 %, 1176 MHz, 48, 6.66 W
1788687187.964069407,0 %, 1176 MHz, 48, 6.62 W
1788687188.064324896,0 %, 1176 MHz, 48, 6.62 W
1788687188.164543249,0 %, 1176 MHz, 48, 6.62 W
1788687188.265022578,0 %, 1176 MHz, 48, 6.62 W
1788687188.364997395,0 %, 1176 MHz, 48, 6.62 W
1788687188.465459476,0 %, 1170 MHz, 48, 6.61 W
1788687188.565679110,0 %, 1170 MHz, 48, 6.61 W
1788687188.665870135,0 %, 1170 MHz, 48, 6.61 W
1788687188.766040184,0 %, 1170 MHz, 48, 6.61 W
1788687188.866137913,0 %, 1170 MHz, 48, 6.61 W
1788687188.966707882,0 %, 1176 MHz, 48, 6.60 W
1788687189.066873051,0 %, 1176 MHz, 48, 6.60 W
1788687189.167172188,0 %, 1176 MHz, 48, 6.60 W
1788687189.267143133,0 %, 1176 MHz, 48, 6.60 W
1788687189.367701902,0 %, 1176 MHz, 48, 6.60 W
1788687189.468033135,0 %, 1176 MHz, 48, 6.59 W
1788687189.568106592,0 %, 1176 MHz, 48, 6.59 W
1788687189.667861425,0 %, 1176 MHz, 48, 6.59 W
1788687189.768233490,0 %, 1176 MHz, 48, 6.59 W
1788687189.868819347,0 %, 1176 MHz, 48, 6.59 W
1788687189.968986644,0 %, 1176 MHz, 48, 6.59 W
1788687190.069221798,0 %, 1176 MHz, 48, 6.59 W
1788687190.169133031,0 %, 1176 MHz, 48, 6.59 W
1788687190.269408056,0 %, 1176 MHz, 48, 6.59 W
1788687190.369897609,0 %, 1176 MHz, 48, 6.59 W
1788687190.470025306,0 %, 1176 MHz, 48, 6.60 W
1788687190.570347563,0 %, 1176 MHz, 48, 6.60 W
1788687190.670276252,0 %, 1176 MHz, 48, 6.60 W
1788687190.770591805,0 %, 1176 MHz, 48, 6.60 W
1788687190.871793502,0 %, 1176 MHz, 48, 6.60 W
1788687190.971426847,0 %, 1176 MHz, 48, 6.61 W
1788687191.071439232,0 %, 1176 MHz, 48, 6.61 W
1788687191.171541713,0 %, 1176 MHz, 48, 6.61 W
1788687191.271710930,0 %, 1176 MHz, 48, 6.61 W
1788687191.372249091,0 %, 1176 MHz, 48, 6.61 W
1788687191.472143556,0 %, 1176 MHz, 48, 6.59 W
1788687191.572685989,0 %, 1176 MHz, 48, 6.59 W
1788687191.672443254,0 %, 1176 MHz, 48, 6.59 W
1788687191.773090616,0 %, 1176 MHz, 48, 6.59 W
1788687191.873325289,0 %, 1176 MHz, 48, 6.59 W
1788687191.973582826,0 %, 1176 MHz, 47, 6.57 W
1788687192.073333499,0 %, 1176 MHz, 47, 6.57 W
1788687192.174083532,0 %, 1176 MHz, 47, 6.57 W
1788687192.274105869,0 %, 1176 MHz, 47, 6.57 W
1788687192.374310718,0 %, 1176 MHz, 47, 6.57 W
1788687192.474274623,0 %, 1176 MHz, 47, 6.56 W
1788687192.574814464,0 %, 1176 MHz, 47, 6.56 W
1788687192.674854721,0 %, 1176 MHz, 47, 6.56 W
1788687192.775217666,0 %, 1176 MHz, 47, 6.56 W
1788687192.875328067,0 %, 1176 MHz, 47, 6.56 W
1788687192.975842244,0 %, 1170 MHz, 47, 6.56 W
1788687193.075808245,0 %, 1170 MHz, 47, 6.56 W
1788687193.175795110,0 %, 1170 MHz, 47, 6.56 W
1788687193.275985335,0 %, 1170 MHz, 47, 6.56 W
1788687193.378991736,0 %, 1170 MHz, 47, 6.56 W
1788687193.476769498,35 %, 1176 MHz, 48, 7.79 W
1788687193.576946347,35 %, 1176 MHz, 48, 7.79 W
1788687193.676507196,35 %, 1176 MHz, 48, 7.79 W
1788687193.777327677,35 %, 1176 MHz, 48, 7.79 W
1788687193.878033790,35 %, 1176 MHz, 48, 7.79 W
1788687193.978136735,35 %, 1176 MHz, 49, 8.97 W
1788687194.079981184,35 %, 1176 MHz, 49, 8.97 W
1788687194.179979809,35 %, 1176 MHz, 49, 8.97 W
1788687194.280390210,35 %, 1176 MHz, 49, 8.97 W
1788687194.380494339,35 %, 1176 MHz, 49, 8.97 W
1788687194.478921172,45 %, 1176 MHz, 48, 12.02 W
1788687194.579547141,45 %, 1176 MHz, 48, 12.02 W
1788687194.679820726,45 %, 1176 MHz, 48, 12.02 W
1788687194.779953815,45 %, 1176 MHz, 48, 12.02 W
1788687194.880448904,45 %, 1176 MHz, 48, 12.02 W
1788687194.979868825,45 %, 1176 MHz, 49, 14.07 W
1788687195.080234426,45 %, 1176 MHz, 49, 14.07 W
1788687195.180710299,45 %, 1176 MHz, 49, 14.07 W
1788687195.280660892,45 %, 1176 MHz, 49, 14.07 W
1788687195.381272717,45 %, 1176 MHz, 49, 14.07 W
1788687195.481515983,96 %, 1176 MHz, 50, 12.86 W
1788687195.582382592,96 %, 1176 MHz, 50, 12.86 W
1788687195.681850305,96 %, 1176 MHz, 50, 12.86 W
1788687195.782007090,96 %, 1176 MHz, 50, 12.86 W
1788687195.882233059,96 %, 1176 MHz, 50, 12.86 W
1788687195.982368276,96 %, 1176 MHz, 50, 18.98 W
1788687196.082926181,96 %, 1176 MHz, 50, 18.98 W
1788687196.183011190,96 %, 1176 MHz, 50, 18.98 W
1788687196.283645815,96 %, 1176 MHz, 50, 18.98 W
1788687196.383313592,96 %, 1176 MHz, 50, 18.98 W
1788687196.483596297,95 %, 1170 MHz, 51, 24.86 W
1788687196.583836538,95 %, 1170 MHz, 51, 24.86 W
1788687196.684026827,95 %, 1170 MHz, 51, 24.86 W
1788687196.784868444,95 %, 1170 MHz, 51, 24.86 W
