1788687176.639497620,0 %, 1170 MHz, 48, 6.82 W
1788687196.884280445,95 %, 1170 MHz, 51, 24.86 W
1788687196.984949118,95 %, 1170 MHz, 50, 19.40 W
1788687197.084494671,95 %, 1170 MHz, 50, 19.40 W
1788687197.184919504,95 %, 1170 MHz, 50, 19.40 W
1788687197.285529601,95 %, 1170 MHz, 50, 19.40 W
1788687197.385984514,95 %, 1170 MHz, 50, 19.40 W
1788687197.486502339,96 %, 1170 MHz, 51, 19.46 W
1788687197.586375524,96 %, 1170 MHz, 51, 19.46 W
1788687197.687123462,96 %, 1170 MHz, 51, 19.46 W
1788687197.786443014,96 %, 1170 MHz, 51, 19.46 W
1788687197.886492488,96 %, 1170 MHz, 51, 19.46 W
1788687197.987189097,96 %, 1176 MHz, 48, 21.55 W
1788687198.087429754,96 %, 1176 MHz, 48, 21.55 W
1788687198.187268763,96 %, 1176 MHz, 48, 21.55 W
1788687198.287663548,96 %, 1176 MHz, 48, 21.55 W
1788687198.388252029,96 %, 1176 MHz, 48, 21.55 W
1788687198.488401854,0 %, 1176 MHz, 48, 12.74 W
1788687198.588627727,0 %, 1176 MHz, 48, 12.74 W
1788687198.688277648,0 %, 1176 MHz, 48, 12.74 W
1788687198.788741377,0 %, 1176 MHz, 48, 12.74 W
1788687198.889810962,0 %, 1176 MHz, 48, 12.74 W
1788687198.989407299,0 %, 1170 MHz, 48, 6.63 W
1788687199.089704452,0 %, 1170 MHz, 48, 6.63 W
1788687199.189891205,0 %, 1170 MHz, 48, 6.63 W
1788687199.290040214,0 %, 1170 MHz, 48, 6.63 W
1788687199.390231607,0 %, 1170 MHz, 48, 6.63 W
1788687199.490182664,0 %, 1176 MHz, 47, 6.62 W
1788687199.590521561,0 %, 1176 MHz, 47, 6.62 W
1788687199.691007082,0 %, 1176 MHz, 47, 6.62 W
1788687199.790996667,0 %, 1176 MHz, 47, 6.62 W
1788687199.891396620,0 %, 1176 MHz, 47, 6.62 W
1788687199.991336077,0 %, 1170 MHz, 47, 6.61 W
1788687200.091868414,0 %, 1170 MHz, 47, 6.61 W
1788687200.192061215,0 %, 1170 MHz, 47, 6.61 W
1788687200.292282208,0 %, 1170 MHz, 47, 6.61 W
1788687200.392286769,0 %, 1170 MHz, 47, 6.61 W
1788687200.492750018,0 %, 1176 MHz, 47, 6.59 W
1788687200.592711412,0 %, 1176 MHz, 47, 6.59 W
1788687200.692827461,0 %, 1176 MHz, 47, 6.59 W
1788687200.792969206,0 %, 1176 MHz, 47, 6.59 W
1788687200.893399207,0 %, 1176 MHz, 47, 6.59 W
1788687200.993607608,0 %, 1176 MHz, 47, 6.59 W
1788687201.093504057,0 %, 1176 MHz, 47, 6.59 W
1788687201.193677978,0 %, 1176 MHz, 47, 6.59 W
1788687201.294469051,0 %, 1176 MHz, 47, 6.59 W
1788687201.394544428,0 %, 1176 MHz, 47, 6.59 W
1788687201.494870221,0 %, 1170 MHz, 47, 6.58 W
1788687201.594953454,0 %, 1170 MHz, 47, 6.58 W
1788687201.695139727,0 %, 1170 MHz, 47, 6.58 W
1788687201.795102576,0 %, 1170 MHz, 47, 6.58 W
1788687201.895685873,0 %, 1170 MHz, 47, 6.58 W
1788687201.995907458,0 %, 1176 MHz, 47, 6.57 W
1788687202.096875363,0 %, 1176 MHz, 47, 6.57 W
1788687202.195825620,0 %, 1176 MHz, 47, 6.57 W
1788687202.296964181,0 %, 1176 MHz, 47, 6.57 W
1788687202.396851574,0 %, 1176 MHz, 47, 6.57 W
1788687202.497053223,0 %, 1170 MHz, 47, 6.57 W
1788687202.597238120,0 %, 1170 MHz, 47, 6.57 W
1788687202.697545881,0 %, 1170 MHz, 47, 6.57 W
1788687202.797832730,0 %, 1170 MHz, 47, 6.57 W
1788687202.897990299,0 %, 1170 MHz, 47, 6.57 W
1788687202.998224348,0 %, 1176 MHz, 47, 6.57 W
1788687203.098539501,0 %, 1176 MHz, 47, 6.57 W
1788687203.198773918,0 %, 1176 MHz, 47, 6.57 W
1788687203.298889983,0 %, 1176 MHz, 47, 6.57 W
1788687203.398860816,0 %, 1176 MHz, 47, 6.57 W
1788687203.499132993,0 %, 1176 MHz, 47, 6.56 W
1788687203.599652546,0 %, 1176 MHz, 47, 6.56 W
1788687203.699907699,0 %, 1176 MHz, 47, 6.56 W
1788687203.799855332,0 %, 1176 MHz, 47, 6.56 W
1788687203.900180837,0 %, 1176 MHz, 47, 6.56 W
1788687204.000623078,0 %, 1170 MHz, 47, 6.56 W
1788687204.101006071,0 %, 1170 MHz, 47, 6.56 W
1788687204.201579848,0 %, 1170 MHz, 47, 6.56 W
1788687204.301268761,0 %, 1170 MHz, 47, 6.56 W
1788687204.401844426,0 %, 1170 MHz, 47, 6.56 W
1788687204.501758363,0 %, 1170 MHz, 47, 6.67 W
1788687204.602155980,0 %, 1170 MHz, 47, 6.67 W
1788687204.702065933,0 %, 1170 MHz, 47, 6.67 W
1788687204.802553646,0 %, 1170 MHz, 47, 6.67 W
1788687204.902341375,0 %, 1170 MHz, 47, 6.67 W
1788687205.002983104,0 %, 1176 MHz, 47, 6.68 W
