1788702438.781289770,0 %, 2411 MHz, 40, 11.52 W
1788702438.882716682,0 %, 2411 MHz, 40, 11.64 W
1788702438.983741050,0 %, 2411 MHz, 40, 11.64 W
1788702439.083684140,0 %, 2411 MHz, 40, 11.64 W
1788702439.183699709,0 %, 2411 MHz, 40, 11.64 W
1788702439.284469310,0 %, 2411 MHz, 40, 11.64 W
1788702439.385322174,0 %, 2411 MHz, 40, 11.78 W
1788702439.485925006,0 %, 2411 MHz, 40, 11.78 W
1788702439.585620464,0 %, 2411 MHz, 40, 11.78 W
1788702439.685969442,0 %, 2411 MHz, 40, 11.78 W
1788702439.786261731,0 %, 2411 MHz, 40, 11.78 W
1788702439.887390994,0 %, 2411 MHz, 40, 11.72 W
1788702439.987840067,0 %, 2411 MHz, 40, 11.72 W
1788702440.088186036,0 %, 2411 MHz, 40, 11.72 W
1788702440.188982420,0 %, 2411 MHz, 40, 11.72 W
1788702440.289028309,0 %, 2411 MHz, 40, 11.72 W
1788702440.389308166,0 %, 2411 MHz, 40, 11.40 W
1788702440.489406247,0 %, 2411 MHz, 40, 11.40 W
1788702440.590783910,0 %, 2411 MHz, 40, 11.40 W
1788702440.691299511,0 %, 2411 MHz, 40, 11.40 W
1788702440.790728425,0 %, 2411 MHz, 40, 11.40 W
1788702440.892438295,0 %, 2411 MHz, 40, 11.42 W
1788702440.992667448,0 %, 2411 MHz, 40, 11.42 W
1788702441.092972217,0 %, 2411 MHz, 40, 11.42 W
1788702441.192758282,0 %, 2411 MHz, 40, 11.42 W
1788702441.293152635,0 %, 2411 MHz, 40, 11.42 W
1788702441.394199306,0 %, 2411 MHz, 40, 11.39 W
1788702441.494703370,0 %, 2411 MHz, 40, 11.39 W
1788702441.594877035,0 %, 2411 MHz, 40, 11.39 W
1788702441.695607147,0 %, 2411 MHz, 40, 11.39 W
1788702441.795245405,0 %, 2411 MHz, 40, 11.39 W
1788702441.896450684,0 %, 2411 MHz, 40, 11.33 W
1788702441.996635869,0 %, 2411 MHz, 40, 11.33 W
1788702442.097408540,0 %, 2411 MHz, 40, 11.33 W
1788702442.197832300,0 %, 2411 MHz, 40, 11.33 W
1788702442.298565244,0 %, 2411 MHz, 40, 11.33 W
1788702442.399043692,0 %, 2411 MHz, 40, 11.33 W
1788702442.499363356,0 %, 2411 MHz, 40, 11.33 W
1788702442.599918876,0 %, 2411 MHz, 40, 11.33 W
1788702442.700662876,0 %, 2411 MHz, 40, 11.33 W
1788702442.799963198,0 %, 2411 MHz, 40, 11.33 W
1788702442.900607694,0 %, 2411 MHz, 40, 11.32 W
1788702443.001121118,0 %, 2411 MHz, 40, 11.32 W
1788702443.101646478,0 %, 2411 MHz, 40, 11.32 W
1788702443.202689036,0 %, 2411 MHz, 40, 11.32 W
1788702443.303023405,0 %, 2411 MHz, 40, 11.32 W
1788702443.403870892,11 %, 2411 MHz, 40, 11.95 W
1788702443.505006378,11 %, 2411 MHz, 40, 11.95 W
1788702443.605464186,11 %, 2411 MHz, 40, 11.95 W
1788702443.706156777,11 %, 2411 MHz, 40, 11.95 W
