1788686723.909541100,0 %, 1690 MHz, 47, 7.72 W
1788686724.009704159,0 %, 1690 MHz, 47, 7.72 W
1788686724.110361363,0 %, 1690 MHz, 47, 7.72 W
1788686724.210695734,0 %, 1690 MHz, 47, 7.72 W
1788686724.311357498,0 %, 1690 MHz, 47, 7.88 W
1788686724.411777453,0 %, 1690 MHz, 47, 7.88 W
1788686724.512059425,0 %, 1690 MHz, 47, 7.88 W
1788686724.612561348,0 %, 1690 MHz, 47, 7.88 W
1788686724.713038456,0 %, 1690 MHz, 47, 7.88 W
1788686724.813464763,0 %, 1690 MHz, 47, 7.93 W
1788686724.913540799,0 %, 1690 MHz, 47, 7.93 W
1788686725.014373714,0 %, 1690 MHz, 47, 7.93 W
1788686725.114646054,0 %, 1690 MHz, 47, 7.93 W
1788686725.214876889,0 %, 1690 MHz, 47, 7.93 W
1788686725.315389356,2 %, 1690 MHz, 47, 7.83 W
1788686725.415534144,2 %, 1690 MHz, 47, 7.83 W
1788686725.516026451,2 %, 1690 MHz, 47, 7.83 W
1788686725.616519751,2 %, 1690 MHz, 47, 7.83 W
1788686725.717269802,2 %, 1690 MHz, 47, 7.83 W
1788686725.817750798,2 %, 1690 MHz, 47, 7.67 W
1788686725.917808689,2 %, 1690 MHz, 47, 7.67 W
1788686726.018643045,2 %, 1690 MHz, 47, 7.67 W
1788686726.117987528,2 %, 1690 MHz, 47, 7.67 W
1788686726.218658860,2 %, 1690 MHz, 47, 7.67 W
1788686726.318392575,0 %, 1690 MHz, 47, 7.63 W
1788686726.418674947,0 %, 1690 MHz, 47, 7.63 W
1788686726.518898326,0 %, 1690 MHz, 47, 7.63 W
1788686726.619422665,0 %, 1690 MHz, 47, 7.63 W
1788686726.720169789,0 %, 1690 MHz, 47, 7.63 W
1788686726.820677040,0 %, 1690 MHz, 48, 7.74 W
1788686726.921149940,0 %, 1690 MHz, 48, 7.74 W
1788686727.021415223,0 %, 1690 MHz, 48, 7.74 W
1788686727.121531499,0 %, 1690 MHz, 48, 7.74 W
1788686727.222149390,0 %, 1690 MHz, 48, 7.74 W
1788686727.322577058,22 %, 1690 MHz, 48, 7.89 W
1788686727.423011589,22 %, 1690 MHz, 48, 7.89 W
1788686727.523293977,22 %, 1690 MHz, 48, 7.89 W
1788686727.623718268,22 %, 1690 MHz, 48, 7.89 W
1788686727.724453952,22 %, 1690 MHz, 48, 7.89 W
1788686727.824405795,22 %, 1690 MHz, 48, 7.88 W
1788686727.924521847,22 %, 1690 MHz, 48, 7.88 W
1788686728.025030506,22 %, 1690 MHz, 48, 7.88 W
1788686728.125512013,22 %, 1690 MHz, 48, 7.88 W
1788686728.225903713,22 %, 1690 MHz, 48, 7.88 W
1788686728.325970948,0 %, 1690 MHz, 48, 7.69 W
1788686728.426448104,0 %, 1690 MHz, 48, 7.69 W
1788686728.526247403,0 %, 1690 MHz, 48, 7.69 W
1788686728.626993359,0 %, 1690 MHz, 48, 7.69 W
1788686728.727430130,0 %, 1690 MHz, 48, 7.69 W
1788686728.828059334,0 %, 1690 MHz, 48, 7.67 W
1788686728.927918985,0 %, 1690 MHz, 48, 7.67 W
1788686729.028312524,0 %, 1690 MHz, 48, 7.67 W
1788686729.128584544,0 %, 1690 MHz, 48, 7.67 W
1788686729.229160899,0 %, 1690 MHz, 48, 7.67 W
1788686729.329454039,0 %, 1690 MHz, 48, 7.67 W
1788686729.430192634,0 %, 1690 MHz, 48, 7.67 W
1788686729.530450718,0 %, 1690 MHz, 48, 7.67 W
1788686729.630628241,0 %, 1690 MHz, 48, 7.67 W
1788686729.730999652,0 %, 1690 MHz, 48, 7.67 W
1788686729.830812328,0 %, 1690 MHz, 48, 7.65 W
1788686729.931210907,0 %, 1690 MHz, 48, 7.65 W
1788686730.031413423,0 %, 1690 MHz, 48, 7.65 W
1788686730.131314674,0 %, 1690 MHz, 48, 7.65 W
1788686730.232014950,0 %, 1690 MHz, 48, 7.65 W
1788686730.332225737,0 %, 1690 MHz, 49, 7.66 W
1788686730.432399581,0 %, 1690 MHz, 49, 7.66 W
1788686730.532972480,0 %, 1690 MHz, 49, 7.66 W
1788686730.633421139,0 %, 1690 MHz, 49, 7.66 W
1788686730.733688263,0 %, 1690 MHz, 49, 7.66 W
1788686730.833618186,0 %, 1690 MHz, 49, 7.70 W
1788686730.933631182,0 %, 1690 MHz, 49, 7.70 W
1788686731.034506193,0 %, 1690 MHz, 49, 7.70 W
1788686731.134184197,0 %, 1690 MHz, 49, 7.70 W
1788686731.235115384,0 %, 1690 MHz, 49, 7.70 W
1788686731.335076891,0 %, 1690 MHz, 49, 7.71 W
1788686731.435013855,0 %, 1690 MHz, 49, 7.71 W
1788686731.535491410,0 %, 1690 MHz, 49, 7.71 W
1788686731.635698518,0 %, 1690 MHz, 49, 7.71 W
1788686731.736151769,0 %, 1690 MHz, 49, 7.71 W
1788686731.836638524,0 %, 1690 MHz, 49, 7.69 W
1788686731.936909616,0 %, 1690 MHz, 49, 7.69 W
1788686732.037517251,0 %, 1690 MHz, 49, 7.69 W
1788686732.137890263,0 %, 1690 MHz, 49, 7.69 W
1788686732.238455274,0 %, 1690 MHz, 49, 7.69 W
1788686732.338696110,0 %, 1690 MHz, 49, 7.69 W
1788686732.439265425,0 %, 1690 MHz, 49, 7.69 W
1788686732.539775300,0 %, 1690 MHz, 49, 7.69 W
1788686732.640359784,0 %, 1690 MHz, 49, 7.69 W
1788686732.740683691,0 %, 1690 MHz, 49, 7.69 W
1788686732.840894319,0 %, 1690 MHz, 49, 7.68 W
1788686732.941434962,0 %, 1690 MHz, 49, 7.68 W
1788686733.041702902,0 %, 1690 MHz, 49, 7.68 W
1788686733.141774697,0 %, 1690 MHz, 49, 7.68 W
1788686733.242454444,0 %, 1690 MHz, 49, 7.68 W
1788686733.342953760,0 %, 1690 MHz, 49, 7.68 W
1788686733.442899811,0 %, 1690 MHz, 49, 7.68 W
1788686733.543645863,0 %, 1690 MHz, 49, 7.68 W
1788686733.644132426,0 %, 1690 MHz, 49, 7.68 W
1788686733.744633229,0 %, 1690 MHz, 49, 7.68 W
1788686733.845032097,0 %, 1690 MHz, 50, 7.70 W
1788686733.945038740,0 %, 1690 MHz, 50, 7.70 W
1788686734.045525688,0 %, 1690 MHz, 50, 7.70 W
1788686734.146515387,0 %, 1690 MHz, 50, 7.70 W
1788686734.246750831,0 %, 1690 MHz, 50, 7.70 W
1788686734.347213650,0 %, 1690 MHz, 50, 7.71 W
1788686734.447693221,0 %, 1690 MHz, 50, 7.71 W
1788686734.548261097,0 %, 1690 MHz, 50, 7.71 W
1788686734.648699596,0 %, 1690 MHz, 50, 7.71 W
1788686734.749139296,0 %, 1690 MHz, 50, 7.71 W
1788686734.848882179,0 %, 1690 MHz, 50, 7.72 W
1788686734.949369878,0 %, 1690 MHz, 50, 7.72 W
1788686735.050213546,0 %, 1690 MHz, 50, 7.72 W
1788686735.150109965,0 %, 1690 MHz, 50, 7.72 W
1788686735.250752832,0 %, 1690 MHz, 50, 7.72 W
1788686735.350544692,0 %, 1690 MHz, 50, 7.72 W
1788686735.450688631,0 %, 1690 MHz, 50, 7.72 W
1788686735.550756443,0 %, 1690 MHz, 50, 7.72 W
1788686735.651097166,0 %, 1690 MHz, 50, 7.72 W
1788686735.751701969,0 %, 1690 MHz, 50, 7.72 W
1788686735.851931909,0 %, 1690 MHz, 50, 7.70 W
1788686735.952225928,0 %, 1690 MHz, 50, 7.70 W
1788686736.052762460,0 %, 1690 MHz, 50, 7.70 W
1788686736.152855263,0 %, 1690 MHz, 50, 7.70 W
1788686736.252934482,0 %, 1690 MHz, 50, 7.70 W
1788686736.353505750,0 %, 1690 MHz, 50, 7.68 W
1788686736.454013337,0 %, 1690 MHz, 50, 7.68 W
1788686736.554140045,0 %, 1690 MHz, 50, 7.68 W
1788686736.654719264,0 %, 1690 MHz, 50, 7.68 W
1788686736.755151123,0 %, 1690 MHz, 50, 7.68 W
1788686736.856224199,0 %, 1690 MHz, 50, 7.66 W
1788686736.955764202,0 %, 1690 MHz, 50, 7.66 W
1788686737.056449006,0 %, 1690 MHz, 50, 7.66 W
1788686737.156892449,0 %, 1690 MHz, 50, 7.66 W
1788686737.257580196,0 %, 1690 MHz, 50, 7.66 W
1788686737.357819480,0 %, 1690 MHz, 50, 7.67 W
1788686737.458275211,0 %, 1690 MHz, 50, 7.67 W
1788686737.558836430,0 %, 1690 MHz, 50, 7.67 W
1788686737.658979858,0 %, 1690 MHz, 50, 7.67 W
1788686737.759683973,0 %, 1690 MHz, 50, 7.67 W
1788686737.860712313,0 %, 1690 MHz, 50, 7.69 W
1788686737.959350220,0 %, 1690 MHz, 50, 7.69 W
1788686738.059637135,0 %, 1690 MHz, 50, 7.69 W
1788686738.160689283,0 %, 1690 MHz, 50, 7.69 W
1788686738.260953878,0 %, 1690 MHz, 50, 7.69 W
1788686738.361044489,0 %, 1690 MHz, 50, 7.70 W
1788686738.461871565,0 %, 1690 MHz, 50, 7.70 W
1788686738.561855952,0 %, 1690 MHz, 50, 7.70 W
1788686738.662575332,0 %, 1690 MHz, 50, 7.70 W
1788686738.763045703,0 %, 1690 MHz, 50, 7.70 W
1788686738.863182842,0 %, 1690 MHz, 51, 7.69 W
1788686738.963206638,0 %, 1690 MHz, 51, 7.69 W
1788686739.064035185,0 %, 1690 MHz, 51, 7.69 W
1788686739.164226420,0 %, 1690 MHz, 51, 7.69 W
1788686739.264111272,0 %, 1690 MHz, 51, 7.69 W
1788686739.364505595,0 %, 1690 MHz, 51, 7.66 W
1788686739.464793838,0 %, 1690 MHz, 51, 7.66 W
1788686739.565247922,0 %, 1690 MHz, 51, 7.66 W
1788686739.665959221,0 %, 1690 MHz, 51, 7.66 W
1788686739.766398249,0 %, 1690 MHz, 51, 7.66 W
1788686739.866823020,0 %, 1690 MHz, 51, 7.65 W
1788686739.966661359,0 %, 1690 MHz, 51, 7.65 W
1788686740.067288979,0 %, 1690 MHz, 51, 7.65 W
1788686740.167978998,0 %, 1690 MHz, 51, 7.65 W
1788686740.268159737,0 %, 1690 MHz, 51, 7.65 W
1788686740.367934413,16 %, 1690 MHz, 51, 7.76 W
1788686740.469900128,16 %, 1690 MHz, 51, 7.76 W
1788686740.570615379,16 %, 1690 MHz, 51, 7.76 W
1788686740.669848215,16 %, 1690 MHz, 51, 7.76 W
1788686740.770356554,16 %, 1690 MHz, 51, 7.76 W
1788686740.870536526,16 %, 1690 MHz, 51, 9.53 W
1788686740.970399665,16 %, 1690 MHz, 51, 9.53 W
1788686741.071184292,16 %, 1690 MHz, 51, 9.53 W
1788686741.171565752,16 %, 1690 MHz, 51, 9.53 W
1788686741.271953067,16 %, 1690 MHz, 51, 9.53 W
1788686741.373614990,34 %, 1690 MHz, 53, 11.85 W
1788686741.474322866,34 %, 1690 MHz, 53, 11.85 W
1788686741.572877061,34 %, 1690 MHz, 53, 11.85 W
1788686741.673265192,34 %, 1690 MHz, 53, 11.85 W
1788686741.773617772,34 %, 1690 MHz, 53, 11.85 W
1788686741.875954719,34 %, 1690 MHz, 52, 13.79 W
1788686741.976775282,34 %, 1690 MHz, 52, 13.79 W
1788686742.074963366,34 %, 1690 MHz, 52, 13.79 W
1788686742.177519577,34 %, 1690 MHz, 52, 13.79 W
1788686742.275488844,34 %, 1690 MHz, 52, 13.79 W
1788686742.376542336,69 %, 1690 MHz, 54, 15.70 W
1788686742.476073795,69 %, 1690 MHz, 54, 15.70 W
1788686742.577394582,69 %, 1690 MHz, 54, 15.70 W
1788686742.677198042,69 %, 1690 MHz, 54, 15.70 W
1788686742.778101837,69 %, 1690 MHz, 54, 15.70 W
1788686742.878465216,69 %, 1690 MHz, 55, 17.45 W
1788686742.978420532,69 %, 1690 MHz, 55, 17.45 W
1788686743.079544151,69 %, 1690 MHz, 55, 17.45 W
1788686743.180447323,69 %, 1690 MHz, 55, 17.45 W
1788686743.280199662,69 %, 1690 MHz, 55, 17.45 W
1788686743.380568481,96 %, 1690 MHz, 56, 24.08 W
1788686743.482203173,96 %, 1690 MHz, 56, 24.08 W
1788686743.581633113,96 %, 1690 MHz, 56, 24.08 W
1788686743.681886140,96 %, 1690 MHz, 56, 24.08 W
1788686743.782222031,96 %, 1690 MHz, 56, 24.08 W
1788686743.882614115,96 %, 1690 MHz, 52, 26.33 W
1788686743.982907350,96 %, 1690 MHz, 52, 26.33 W
1788686744.083634105,96 %, 1690 MHz, 52, 26.33 W
1788686744.183777629,96 %, 1690 MHz, 52, 26.33 W
1788686744.284014336,96 %, 1690 MHz, 52, 26.33 W
1788686744.384759875,96 %, 1690 MHz, 56, 25.35 W
